STIM,SCat,Code
"草地","Real",1
"跳高","Real",1
"菜园","Real",1
"这些","Real",1
"走过","Real",1
"跑步","Real",1
"出来","Real",1
"远近","Real",1
"晚上","Real",1
"绿色","Real",1
"电视","Real",1
"作业","Real",1
"田野","Real",1
"读书","Real",1
"身体","Real",1
"漂亮","Real",1
"同学","Real",1
"长城","Real",1
"豆角","Real",1
"外面","Real",1
"回答","Real",1
"现在","Real",1
"景色","Real",1
"妈妈","Real",1
"竹子","Real",1
"何花","Pseudo",2
"里想","Pseudo",2
"平论","Pseudo",2
"马蚁","Pseudo",2
"心闻","Pseudo",2
"站士","Pseudo",2
"拉圾","Pseudo",2
"石快","Pseudo",2
"亭止","Pseudo",2
"纺问","Pseudo",2
"安净","Pseudo",2
"诚功","Pseudo",2
"风争","Pseudo",2
"蓝子","Pseudo",2
"交傲","Pseudo",2
"树跟","Pseudo",2
"罗卜","Pseudo",2
"足求","Pseudo",2
"事晴","Pseudo",2
"西呱","Pseudo",2
"你门","Pseudo",2
"可昔","Pseudo",2
"海阳","Pseudo",2
"旦是","Pseudo",2
"店脑","Pseudo",2
