STIM,SCat,Order
"1","Real",1
"2","Real",1
"3","Real",1
"4","Real",1
"5","Real",1
"6","Real",1
"7","Real",1
"8","Real",1
"9","Real",1
"10","Real",1
"11","Real",1
"12","Real",1
"13","Real",1
"14","Real",1
"15","Real",1
"16","Real",1
"17","Real",1
"18","Real",1
"19","Real",1
"20","Real",1
"21","Real",1
"22","Real",1
"23","Real",1
"24","Real",1
"25","Real",1
"26","Pseudo",2
"27","Pseudo",2
"28","Pseudo",2
"29","Pseudo",2
"30","Pseudo",2
"31","Pseudo",2
"32","Pseudo",2
"33","Pseudo",2
"34","Pseudo",2
"35","Pseudo",2
"36","Pseudo",2
"37","Pseudo",2
"38","Pseudo",2
"39","Pseudo",2
"40","Pseudo",2
"41","Pseudo",2
"42","Pseudo",2
"43","Pseudo",2
"44","Pseudo",2
"45","Pseudo",2
"46","Pseudo",2
"47","Pseudo",2
"48","Pseudo",2
"49","Pseudo",2
"50","Pseudo",2
