STIM,SCat,Code
"公鸡","Animal",1
"燕子","Animal",1
"青蛙","Animal",1
"水牛","Animal",1
"老鼠","Animal",1
"山羊","Animal",1
"黑狗","Animal",1
"熊猫","Animal",1
"黄牛","Animal",1
"松鼠","Animal",1
"野鸭","Animal",1
"老虎","Animal",1
"兔子","Animal",1
"大象","Animal",1
"猴子","Animal",1
"狮子","Animal",1
"乌龟","Animal",1
"乌鸦","Animal",1
"蝌蚪","Animal",1
"黑熊","Animal",1
"孔雀","Animal",1
"大雁","Animal",1
"海鸥","Animal",1
"蜘蛛","Animal",1
"壁虎","Animal",1
"房屋","NonAnim",2
"花朵","NonAnim",2
"白云","NonAnim",2
"马车","NonAnim",2
"飞机","NonAnim",2
"高山","NonAnim",2
"故乡","NonAnim",2
"茶几","NonAnim",2
"明月","NonAnim",2
"尘土","NonAnim",2
"竹排","NonAnim",2
"鸟岛","NonAnim",2
"皮球","NonAnim",2
"商场","NonAnim",2
"土地","NonAnim",2
"跑步","NonAnim",2
"早晨","NonAnim",2
"胡子","NonAnim",2
"木鱼","NonAnim",2
"毛巾","NonAnim",2
"贺卡","NonAnim",2
"雨伞","NonAnim",2
"沙发","NonAnim",2
"尾巴","NonAnim",2
"雪人","NonAnim",2
