STIM,SCat,Code
"各","Target",1
"力","Target",1
"四","Target",1
"爱","Target",1
"众","Target",1
"次","Target",1
"泪","Target",1
"办","Target",1
"块","Target",1
"互","Target",1
"过","Target",1
"代","Target",1
"去","Target",1
"认","Target",1
"弄","Target",1
"入","Target",1
"动","Target",1
"燕","Target",1
"妙","Target",1
"校","Target",1
"立","Target",1
"变","Target",1
"放","Target",1
"再","Target",1
"到","Target",1
"多","NonTarget",2
"家","NonTarget",2
"巴","NonTarget",2
"他","NonTarget",2
"光","NonTarget",2
"春","NonTarget",2
"吃","NonTarget",2
"语","NonTarget",2
"灰","NonTarget",2
"反","NonTarget",2
"迷","NonTarget",2
"活","NonTarget",2
"习","NonTarget",2
"牙","NonTarget",2
"洋","NonTarget",2
"打","NonTarget",2
"平","NonTarget",2
"门","NonTarget",2
"节","NonTarget",2
"祖","NonTarget",2
"杆","NonTarget",2
"早","NonTarget",2
"总","NonTarget",2
"品","NonTarget",2
"百","NonTarget",2
