taskID,taskIDName,name,title,anafun,anafunMatlab,R
97961,Anticipation,宇宙加氧站,宇宙加氧站,INPROGRESS,0,
99984,Jigsaw1,自由拼图,自由拼图（黑白版）,,0,
99985,Jigsaw2,自由拼图,自由拼图（彩色版）,,0,
97960,TempDiscounting,消灭敌机,消灭敌机,,0,
99969,BART,吹气球,吹气球,BART,BART,MISSED
97962,BART,吹气球,吹气球-v4,BART,BART,MISSED
97943,DCCS,卡片分类,卡片分类-初级,control,Control,MISSED
97932,DCCS,卡片分类,卡片分类-v4,control,Control,MISSED
100001,Flanker,方向达人,方向达人,control,Control,
98001,Flanker,方向达人,方向达人-v3,control,Control,
97956,Flanker,方向达人,方向达人-v4,control,Control,
99973,NumStroop,数字大小混淆,数字大小混淆,control,Control,
97939,NumStroop,数字大小混淆,数字大小混淆-v4,control,Control,
100029,Stroop1,颜色达人,颜色达人初级,control,Control,
98029,Stroop1,颜色达人,颜色达人初级-v3,control,Control,
99999,Stroop2,颜色达人,颜色达人中级,control,Control,
98999,Stroop2,颜色达人,颜色达人中级-v3,control,Control,
99990,TaskSwitching,思维转换,思维转换,control,Control,
97941,TaskSwitching,思维转换,思维转换-v4,control,Control,
97959,TaskSwitching2,反应转换,反应转换,control,Control,
97949,TaskSwitching2,反应转换,反应转换-v4,control,Control,
97954,Filtering,班务达人,班务达人-v4,,FLT,
97955,Filtering2,科学达人,科学达人-v4,,FLT,
99991,AssocMemory,联系记忆,联系记忆,,Memrep,
97967,AssocMemory,联系记忆,联系记忆-v4,,Memrep,
99986,LTMemSemantic,语义记忆,语义记忆,,Memrep,
99987,DRM,言语记忆,言语记忆,,Memsep,
99988,PatternSep,图片记忆,图片记忆,,Memsep,
97968,PatternSep,图片记忆,图片记忆-v4,,Memsep,
99970,DigitCmp,数字大小比较,数字大小比较,,Mentcompare,
97940,DigitCmp,数字大小比较,数字大小比较-v4,,Mentcompare,
99971,Subitizing,数感,数感,,Mentcompare,
97938,Subitizing,数感,数感-v4,,Mentcompare,
97994,RunMemAlpha,记忆尾巴,记忆尾巴（字母）,,MT,
97997,RunMemDigit,记忆尾巴,记忆尾巴（数字）,,MT,
97992,RunMemSpatial,记忆尾巴,记忆尾巴（空间位置）,,MT,
97993,RunMemWord,记忆尾巴,记忆尾巴（词语）,,MT,
100008,CPT1,捉虫,捉虫,,NSN,
98008,CPT1,捉虫,捉虫-v3,,NSN,
97969,CPT1,捉虫,捉虫-v4,,NSN,
99974,CPT2,捉虫,捉虫(高级版),,NSN,
97957,CPT2,捉虫,捉虫(高级版)-v4,,NSN,
100010,DivAtten1,分配注意,分配注意初级,,NSN,
97976,DivAtten1,分配注意,分配注意初级-v4,,NSN,
