ID	TaskName	TaskIDName	TemplateToken	PreSpVar	AnalysisFun	AnalysisVars	RespRequired	RTmin	RTmax	NRRT	ChanceACC	VarsCat	VarsCond	VarsFull	MergeCond	UltimateIndex
1	"雷达追踪"	"SusAtten"	"MOT"	""	"Span"	"RECORD"	1	NaN	NaN	NaN	NaN	"ML MS"	""	"MLACC MLNextACC"	""	"MS"
2	"捉虫"	"CPT1"	"CPT1"	""	"NSN"	"RECORD"	0	100	NaN	1000	NaN	"Rate RT"	"Overall hit FA"	"dprime c"	""	"dprime"
3	"捉虫(高级版)"	"CPT2"	"CPT2"	""	"NSN"	"RECORD"	0	100	NaN	500	NaN	"Count RT"	"hit FA"	"dprime c"	""	"dprime"
4	"分配注意初级"	"DivAtten1"	"DA"	""	"NSN"	"LRECORD RRECORD"	0	100	NaN	1000	0.5	"Rate RT"	"Overall hit FA"	"dprime c"	"L R"	"dprimeUnion"
5	"分配注意中级"	"DivAtten2"	"DA"	""	"NSN"	"LRECORD RRECORD"	0	100	NaN	1000	0.5	"Rate RT"	"Overall hit FA"	"dprime c"	"L R"	"dprimeUnion"
6	"抵制诱惑"	"GNGLure"	"GNG"	""	"NSN"	"RECORD"	0	100	NaN	2000	0.5	"Rate RT"	"Overall hit FA"	"dprime c"	""	"dprime"
7	"水果忍者"	"GNGFruit"	"GNG"	""	"NSN"	"RECORD"	0	100	NaN	0	0.5	"Rate RT"	"Overall hit FA"	"dprime c"	""	"dprime"
8	"方向达人"	"Flanker"	"F"	""	"Control"	"RECORD"	1	100	2500	3000	0.5	""	""	""	""	"NIHScore"
9	"颜色达人初级"	"Stroop1"	"CS"	""	"Control"	"RECORD"	1	100	2500	3000	0.25	""	""	""	""	"NIHScore"
10	"颜色达人中级"	"Stroop2"	"CS"	""	"Control"	"RECORD"	1	100	2500	3000	0.25	""	""	""	""	"NIHScore"
11	"数字大小混淆"	"NumStroop"	"NS"	""	"Control"	"RECORD"	1	100	NaN	2000	0.5	""	""	""	""	"NIHScore"
12	"数字魔法师初级"	"Nback1"	"NB"	""	"SAT"	"RECORD"	1	100	NaN	2000	0.5	"ACC MRT"	""	"angACC"	""	"angACC"
13	"数字魔法师中级"	"Nback2"	"NB"	""	"SAT"	"RECORD"	1	100	NaN	2000	0.5	"ACC MRT"	""	"angACC"	""	"angACC"
14	"红绿灯"	"StopSignal"	"SS"	""	"StopSignal"	"RECORD"	0	100	NaN	1000	0.5	""	""	"ACC SSRT"	""	"SSRT"
15	"速算师-初级"	"SpeedAdd"	"MC"	""	"SAT"	"RECORD"	1	100	2500	3000	0.5	"ACC MRT"	""	"TotalScore MeanScore"	""	"MeanScore"
16	"速算师-中级"	"SpeedSubtract"	"MC"	""	"SAT"	"RECORD"	1	100	2500	3000	0.5	"ACC MRT"	""	"TotalScore MeanScore"	""	"MeanScore"
17	"数字大小比较"	"DigitCmp"	"DC"	""	"Mentcompare"	"RECORD"	1	100	NaN	2000	0.5	"ACC RT"	"Overall D1 D2 D3 D4 D5 D6"	"DistEffect"	""	"DistEffect"
18	"数感"	"Subitizing"	"CC"	""	"Mentcompare"	"RECORD"	1	100	2500	3000	0.5	"ACC RT"	"Overall D1 D2 D3 D4 D5 D8"	""	""	""
19	"顺背数"	"ForSpan"	"WM"	""	"Span"	"RECORD"	1	NaN	NaN	NaN	NaN	"ML MS"	""	""	""	"MS"
20	"倒背数"	"BackSpan"	"WM"	""	"Span"	"RECORD"	1	NaN	NaN	NaN	NaN	"ML MS"	""	"meanHit"	""	"MS"
