TaskID,TaskIDName,TemplateToken,TaskName,TaskFullName
97961,"Anticipation","TA","宇宙加氧站","宇宙加氧站"
99984,"Jigsaw1","JS","自由拼图","自由拼图（黑白版）"
99985,"Jigsaw2","JS","自由拼图","自由拼图（彩色版）"
97960,"TempDiscounting","TD","消灭敌机","消灭敌机"
99969,"BART","BART","吹气球","吹气球"
97962,"BART","BART","吹气球","吹气球-v4"
97943,"DCCS","DCCS","卡片分类","卡片分类-初级"
97932,"DCCS","DCCS","卡片分类","卡片分类-v4"
100001,"Flanker","F","方向达人","方向达人"
98001,"Flanker","F","方向达人","方向达人-v3"
97956,"Flanker","F","方向达人","方向达人-v4"
99973,"NumStroop","NS","数字大小混淆","数字大小混淆"
97939,"NumStroop","NS","数字大小混淆","数字大小混淆-v4"
100029,"Stroop1","CS","颜色达人","颜色达人初级"
98029,"Stroop1","CS","颜色达人","颜色达人初级-v3"
99999,"Stroop2","CS","颜色达人","颜色达人中级"
98999,"Stroop2","CS","颜色达人","颜色达人中级-v3"
99990,"TaskSwitching","TS","思维转换","思维转换"
97941,"TaskSwitching","TS","思维转换","思维转换-v4"
97959,"TaskSwitching2","TS","反应转换","反应转换"
97949,"TaskSwitching2","TS","反应转换","反应转换-v4"
97954,"Filtering","FL","班务达人","班务达人-v4"
97955,"Filtering2","FL","科学达人","科学达人-v4"
99991,"AssocMemory","AM","联系记忆","联系记忆"
97967,"AssocMemory","AM","联系记忆","联系记忆-v4"
99986,"SemanticMemory","SM","语义记忆","语义记忆"
99987,"WordMemory","EM","言语记忆","言语记忆"
99988,"PicMemory","EM","图片记忆","图片记忆"
97968,"PicMemory","EM","图片记忆","图片记忆-v4"
99970,"DigitCmp","DC","数字大小比较","数字大小比较"
97940,"DigitCmp","DC","数字大小比较","数字大小比较-v4"
99971,"Subitizing","CC2","数感","数感"
97938,"Subitizing","CC","数感","数感-v4"
97994,"MemoryTail","MT","记忆尾巴","记忆尾巴（字母）"
97997,"MemoryTail","MT","记忆尾巴","记忆尾巴（数字）"
97992,"MemoryTail","MT","记忆尾巴","记忆尾巴（空间位置）"
97993,"MemoryTail","MT","记忆尾巴","记忆尾巴（词语）"
100008,"CPT1","CPT1","捉虫","捉虫"
98008,"CPT1","CPT1","捉虫","捉虫-v3"
97969,"CPT1","CPT1","捉虫","捉虫-v4"
99974,"CPT2","CPT2","捉虫","捉虫(高级版)"
97957,"CPT2","CPT2","捉虫","捉虫(高级版)-v4"
100010,"DivAtten1","DA","分配注意","分配注意初级"
97976,"DivAtten1","DA","分配注意","分配注意初级-v4"
100018,"DivAtten2","DA","分配注意","分配注意中级"
97947,"DivAtten2","DA","分配注意中级","分配注意中级-v4"
100019,"DRT","RTC","分辨速度","分辨速度(蓝色向左，红色不操作)"
99998,"DRT","RTC","分辨速度","分辨速度(红色向右、蓝色不操作)"
99996,"DRT","RTC","分辨速度","分辨速度儿童版(太阳向右、月亮不操作)"
99995,"DRT","RTC","分辨速度","分辨速度儿童版(月亮向右、太阳不操作)"
98098,"DRT","RTC","分辨速度","分辨速度(红色向右、蓝色不操作)-v3"
98096,"DRT","RTC","分辨速度","分辨速度儿童版(太阳向右、月亮不操作)-v3"
98095,"DRT","RTC","分辨速度","分辨速度儿童版(月亮向右、太阳不操作)-v3"
98019,"DRT","RTC","分辨速度","分辨速度(蓝色向左，红色不操作)-v3"
100016,"GNGFruit","GNG","水果忍者","水果忍者"
98016,"GNGFruit","GNG","水果忍者","水果忍者-v3"
97982,"GNGFruit","GNG","水果忍者","水果忍者-v4"
97963,"GNGFruit","GNG","水果忍者","水果忍者（中级）-v4"
99992,"GNGLure","GNG","抵制诱惑","抵制诱惑"
97945,"GNGLure","GNG","抵制诱惑","抵制诱惑-v4"
99976,"Lexic","LT","词语判断","词语判断"
97971,"Lexic","LT","词语判断","词语判断-v4"
97973,"Orthograph","LT","字形判断","字形判断-v4"
99978,"Orthograph","LT","字形判断","字形判断"
99975,"Pinyin","LT","拼音判断","拼音判断"
97965,"Pinyin","LT","拼音判断","拼音判断-v4"
99980,"Semantic","LT","语义判断","语义判断(高级)"
97974,"Semantic","LT","语义判断","语义判断(高级)-v4"
99979,"Symbol","LT","符号判断","符号判断"
97972,"Symbol","LT","符号判断","符号判断-v4"
99977,"Tone","LT","声调判断","声调判断"
97970,"Tone","LT","声调判断","声调判断-v4"
98097,"CRT","RTC","选择速度","选择速度儿童版（月亮向左，太阳向右）-v3"
100007,"CRT","RTC","选择速度","选择速度"
99997,"CRT","RTC","选择速度","选择速度儿童版（月亮向左，太阳向右）"
98007,"CRT","RTC","选择速度","选择速度-v3"
97964,"CRT","RTC","选择速度","选择速度-v4"
100004,"Nback1","NB","数字魔法师","数字魔法师初级"
97999,"Nback1","NB","数字魔法师","数字魔法师初级"
97977,"Nback1","NB","数字魔法师","数字魔法师初级-v4"
100005,"Nback2","NB","数字魔法师","数字魔法师中级"
97946,"Nback2","NB","数字魔法师中级","数字魔法师中级-v4"
100011,"SpeedAdd","MC","速算师","速算师-初级"
97981,"SpeedAdd","MC","速算师","速算师-初级-v4"
99989,"SpeedSubtract","MC","速算师","速算师-中级"
97951,"SpeedSubtract","MC","速算师","速算师(中级)-v4"
100003,"BackSpan","WM","倒背数","倒背数"
98003,"BackSpan","WM","倒背数","倒背数-v3"
97950,"BackSpan","WM","倒背数","倒背数-v4"
100002,"ForSpan","WM","顺背数","顺背数"
98002,"ForSpan","WM","顺背数","顺背数-v3"
97975,"ForSpan","WM","顺背数","顺背数-v4"
99981,"MOT","MOT","雷达追踪","雷达追踪"
97978,"MOT","MOT","雷达追踪","雷达追踪-v4"
100023,"SpatialSpan","WM","位置记忆","位置记忆"
98023,"SpatialSpan","WM","位置记忆","位置记忆-v3"
97980,"SpatialSpan","WM","位置记忆","位置记忆-v4"
100022,"SRT","RTC","反应速度","反应速度（红色）"
100000,"SRT","RTC","反应速度","反应速度（蓝色）"
99994,"SRT","RTC","反应速度","反应速度儿童版（太阳）"
99993,"SRT","RTC","反应速度","反应速度儿童版（月亮）"
